,School Name,Type,Budget,Students,Budget per Student,Average Math Score,Average Reading Score,% Passing Math,% Passing Reading,% Overall Passing
0,Huang High School,Government,"$1,910,635.00",2917,$655.00,68.94,68.91,81.69%,81.45%,66.71%
1,Figueroa High School,Government,"$1,884,411.00",2949,$639.00,68.70,69.08,81.65%,82.81%,67.65%
2,Shelton High School,Independent,"$1,056,600.00",1761,$600.00,72.03,70.26,91.54%,86.71%,78.88%
3,Hernandez High School,Government,"$3,022,020.00",4635,$652.00,68.87,69.19,80.95%,81.88%,66.36%
4,Griffin High School,Independent,"$917,500.00",1468,$625.00,71.79,71.25,91.21%,88.49%,81.34%
5,Wilson High School,Independent,"$1,319,574.00",2283,$578.00,69.17,68.88,82.79%,81.30%,67.46%
6,Cabrera High School,Independent,"$1,081,356.00",1858,$582.00,71.66,71.36,90.85%,89.07%,80.79%
7,Bailey High School,Government,"$3,124,928.00",4976,$628.00,72.35,71.01,91.64%,87.38%,80.08%
8,Holden High School,Independent,"$248,087.00",427,$581.00,72.58,71.66,89.93%,88.52%,78.92%
9,Pena High School,Independent,"$585,858.00",962,$609.00,72.09,71.61,91.68%,86.59%,79.21%
10,Wright High School,Independent,"$1,049,400.00",1800,$583.00,72.05,70.97,91.78%,86.67%,79.72%
11,Rodriguez High School,Government,"$2,547,363.00",3999,$637.00,72.05,70.94,90.80%,87.40%,79.42%
12,Johnson High School,Government,"$3,094,650.00",4761,$650.00,68.84,69.04,82.06%,81.98%,67.19%
13,Ford High School,Government,"$1,763,916.00",2739,$644.00,69.09,69.57,82.44%,82.22%,67.47%
14,Thomas High School,Independent,"$1,043,130.00",1635,$638.00,69.58,69.77,83.85%,82.63%,69.48%
